Investors,Primary Contact,Description,Geography,Preferred Industry,Preferred Investment Type,Primary Investor Type,geography_tags,preferred_investment_type_tags,preferred_industry_tags
BNP Paribas Développement,Jerome Vigier,"Founded in 1988, BNP Paribas Développement is a private equity firm based in Paris, France. The firm prefers investing in growth-stage companies through buyouts. The firm also prefers investing in seed-stage, early-stage, and later-stage companies through venture capital investments. The firm seeks to invest in business products, business services, consumer products, consumer services, healthcare, information technology, manufacturing, e-commerce, B2B payments, life sciences, and mobile commerce sectors in France. ",France,"Commercial Products, Commercial Services, Distributors/Wholesale (B2C), General Merchandise Stores, Internet Retail, Internet Service Providers, IT Services, Other Business Products and Services, Other Communications and Networking, Other Consumer Products and Services, Other Healthcare, Other Information Technology, Other Retail, Pharmaceuticals and Biotechnology, Software, Telecommunications Service Providers, Wireless Service Providers","Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",PE/Buyout,['france'],"['buyout/lbo' 'early stage vc' 'later stage vc' 'pe growth/expansion'
 'seed round']","['commercial products' 'commercial services'
 'distributors/wholesale (b2c)' 'general merchandise stores'
 'internet retail' 'internet service providers' 'it services'
 'other business products and services'
 'other communications and networking'
 'other consumer products and services' 'other healthcare'
 'other information technology' 'other retail'
 'pharmaceuticals and biotechnology' 'software'
 'telecommunications service providers' 'wireless service providers']"
GrowthX Capital,Andrew Goldner,"Founded in 215, GrowthX Capital is a venture capital firm based in San Francisco, California. The firm provides seed-stage investments to startup companies operating in the business-to-business and technology sectors. ","Canada, United States","Commercial Services, Commercial Transportation, Software","Accelerator/Incubator, Early Stage VC, Seed Round",Venture Capital,['canada' 'united states'],['accelerator/incubator' 'early stage vc' 'seed round'],['commercial services' 'commercial transportation' 'software']
New Mountain Capital,Jacquelyn M. Pultorak,"Founded in 1999, New Mountain Capital is a private equity investment firm based in New York, New York. The firm seeks to invest in companies operating in advanced materials/niche product technologies, technology-enabled business services, financial services,/technologies, defensive growth consumer/ products, infrastructure services/ field services, information &amp; data, human capital management/ future of work, specialized software, healthcare cost containment, quality &amp; access, and digital marketing/transformation, education, logistics, chemicals, federal services, insurance, and environmental services sectors across the United States. This firm is a Registered Investment Adviser (RIA). ",United States,"Chemicals and Gases, Education and Training Services (B2B), Environmental Services (B2B), Healthcare Services, Insurance, Logistics, Software","Add-on, Buyout/LBO, Debt - General, PE Growth/Expansion",PE/Buyout,['united states'],['add-on' 'buyout/lbo' 'debt - general' 'pe growth/expansion'],"['chemicals and gases' 'education and training services (b2b)'
 'environmental services (b2b)' 'healthcare services' 'insurance'
 'logistics' 'software']"
Oaktree Capital Management,Bruce A. Karsh,"Founded in 1995, Oaktree Capital Management is an asset manager firm based in Los Angeles, California. The firm prefers investing in public equity, private equity, infrastructure, real estate, fixed-income markets, and alternative asset markets with a focus on crude petroleum, natural gas, coal, consumable fuels, environmental facilities services, cargo or container ships, consumer durables, apparel, movies, entertainment, retailing, beverages, food products, specialized finance, real estate, and electric utilities sectors. This firm is a Registered Investment Adviser (RIA). ",,"Apparel and Accessories, Capital Markets/Institutions, Chemicals and Gases, Commercial Banks, Commercial Products, Commercial Services, Commercial Transportation, Communications and Networking, Consumer Durables, Consumer Non-Durables, Containers and Packaging, Energy Equipment, Energy Services, Exploration, Production and Refining, Forestry, Healthcare Services, Media, Metals, Minerals and Mining, Other Business Products and Services, Other Energy, Other Financial Services, Pharmaceuticals and Biotechnology, Restaurants, Hotels and Leisure, Retail, Services (Non-Financial), Software","Bonds, Buyout/LBO, Convertible Debt, Corporate Divestiture, Debt - General, Loan, Mezzanine, PE Growth/Expansion, Senior Debt",Asset Manager,[''],"['bonds' 'buyout/lbo' 'convertible debt' 'corporate divestiture'
 'debt - general' 'loan' 'mezzanine' 'pe growth/expansion' 'senior debt']","['apparel and accessories' 'capital markets/institutions'
 'chemicals and gases' 'commercial banks' 'commercial products'
 'commercial services' 'commercial transportation'
 'communications and networking' 'consumer durables'
 'consumer non-durables' 'containers and packaging' 'energy equipment'
 'energy services' 'exploration' 'production and refining' 'forestry'
 'healthcare services' 'media' 'metals' 'minerals and mining'
 'other business products and services' 'other energy'
 'other financial services' 'pharmaceuticals and biotechnology'
 'restaurants' 'hotels and leisure' 'retail' 'services (non-financial)'
 'software']"
Venture Kick,Jordi Montserrat,"Founded in 27, Venture kick is an accelerator investment firm based in Zurich, Switzerland. The firm prefers to invest in business products, business services, consumer products, consumer services, energy, financial services, healthcare, information technology, materials, resources, SaaS, e-commerce, big data, life sciences, artificial intelligence, machine learning, and technology companies based in Switzerland. ",Switzerland,"Aerospace and Defense, Alternative Energy Equipment, Application Software, Automotive, Biotechnology, Buildings and Property, Business/Productivity Software, Chemicals and Gases, Clinics/Outpatient Services, Consulting Services (B2B), Diagnostic Equipment, Drug Discovery, Education and Training Services (B2B), Educational and Training Services (B2C), Electronic Equipment and Instruments, Electronics (B2C), Energy Production, Energy Storage, Energy Transportation, Entertainment Software, Environmental Services (B2B), Financial Services, Healthcare Technology Systems, Human Capital Services, Internet Service Providers, Internet Software, Legal Services (B2B), Media and Information Services (B2B), Multimedia and Design Software, Network Management Software, Other Restaurants, Hotels and Leisure, Pharmaceuticals, Real Estate Services (B2C), Semiconductors, Social Content, Social/Platform Software, Specialty Retail, Water Utilities, Wireless Communications Equipment, Wireless Service Providers","Accelerator/Incubator, Convertible Debt, Early Stage VC, Grant, Seed Round",Accelerator/Incubator,['switzerland'],"['accelerator/incubator' 'convertible debt' 'early stage vc' 'grant'
 'seed round']","['aerospace and defense' 'alternative energy equipment'
 'application software' 'automotive' 'biotechnology'
 'buildings and property' 'business/productivity software'
 'chemicals and gases' 'clinics/outpatient services'
 'consulting services (b2b)' 'diagnostic equipment' 'drug discovery'
 'education and training services (b2b)'
 'educational and training services (b2c)'
 'electronic equipment and instruments' 'electronics (b2c)'
 'energy production' 'energy storage' 'energy transportation'
 'entertainment software' 'environmental services (b2b)'
 'financial services' 'healthcare technology systems'
 'human capital services' 'internet service providers' 'internet software'
 'legal services (b2b)' 'media and information services (b2b)'
 'multimedia and design software' 'network management software'
 'other restaurants' 'hotels and leisure' 'pharmaceuticals'
 'real estate services (b2c)' 'semiconductors' 'social content'
 'social/platform software' 'specialty retail' 'water utilities'
 'wireless communications equipment' 'wireless service providers']"
ACE &amp, Company,www.aceandcompany.com,"Founded in 25, ACE &amp; Company is a private equity firm based in Geneva, Switzerland. The firm seeks to invest in healthcare services, information technology, financial services, energy services, business products, and services sectors. ",0,"Commercial Products, Energy Services, Financial Services, Healthcare, Other Business Products and Services, Software","Buyout/LBO, Early Stage VC, GP Stakes, Later Stage VC, PE Growth/Expansion, Secondary Buyout, Seed Round","['founded in 25'
 'ace &amp; company is a private equity firm based in geneva'
 'switzerland. the firm seeks to invest in healthcare services'
 'information technology' 'financial services' 'energy services'
 'business products' 'and services sectors.']","['commercial products' 'energy services' 'financial services' 'healthcare'
 'other business products and services' 'software']",['0']
F-Prime Capital,Davina Magargal,"Founded in 1969, F-Prime Capital is a venture capital firm based in Cambridge, Massachusetts. The firm seeks to invest in companies operating in the healthcare, therapeutics, medtech, health information technology, services, fintech, software, and technology sectors across Americas, Europe, and Asia. This firm is a Registered Investment Adviser (RIA). ","Americas, Asia, Europe","Healthcare Services, Software, Therapeutic Devices","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,['americas' 'asia' 'europe'],['early stage vc' 'later stage vc' 'seed round'],['healthcare services' 'software' 'therapeutic devices']
Samsung NEXT Ventures,Tal Achituv,"Founded in 213, Samsung NEXT Ventures is a venture capital arm of Samsung Electronics based in Mountain View, California. The firm prefers to invest in artificial intelligence, financial technology, blockchain, health technology, infrastructure, and media technology sectors. ",,"Commercial Products, Financial Services, Healthcare, Media, Software","Early Stage VC, Later Stage VC, Seed Round",Venture Capital,[''],['early stage vc' 'later stage vc' 'seed round'],"['commercial products' 'financial services' 'healthcare' 'media'
 'software']"
Animoca Brands,Robby Yung,"Animoca Brands is a developer of mobile games. The company develops and publishes mobile games for smartphones and tablet such as Garfield, Ben1, Doraemon, Astro Boy and Ultraman. It also publishes games developed by third parties. The company was founded in 26. The company is headquartered in Hong Kong. ",,Software,Merger/Acquisition,PE-Backed Company,[''],['merger/acquisition'],['software']
Audax Private Equity,Edgar W. Soule,"Founded in 1999, Audax Private Equity is a private equity firm based in Boston, Massachusetts. The firm seeks to invest in companies operating in business services, consumer, financial services, healthcare, industrial services &amp; technologies, and software &amp; technology sectors across the United States and Canada. This firm is a Registered Investment Adviser (RIA). ","Canada, North America, United States","Business Products and Services (B2B), Chemicals and Gases, Consumer Products and Services (B2C), Financial Services, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Other Healthcare, Pharmaceuticals and Biotechnology, Software","Acquisition Financing, Add-on, Buyout/LBO, Management Buy-In, Management Buyout, Mezzanine, PE Growth/Expansion, Senior Debt, Secured",PE/Buyout,['canada' 'north america' 'united states'],"['acquisition financing' 'add-on' 'buyout/lbo' 'management buy-in'
 'management buyout' 'mezzanine' 'pe growth/expansion' 'senior debt'
 'secured']","['business products and services (b2b)' 'chemicals and gases'
 'consumer products and services (b2c)' 'financial services'
 'healthcare devices and supplies' 'healthcare services'
 'healthcare technology systems' 'other healthcare'
 'pharmaceuticals and biotechnology' 'software']"
BHMS Investments,Anthony S. Recine,"Founded in 21, BHMS Investments is a private equity firm based in Westport, Connecticut. The firm seeks to invest in North American middle-market companies operating in business services, healthcare services, and insurance services sectors. This firm is a Registered Investment Adviser (RIA). ",North America,"Aerospace and Defense, Commercial Services, Consumer Products and Services (B2C), Healthcare Services, Insurance, Other Financial Services","Buyout/LBO, PE Growth/Expansion",PE/Buyout,['north america'],['buyout/lbo' 'pe growth/expansion'],"['aerospace and defense' 'commercial services'
 'consumer products and services (b2c)' 'healthcare services' 'insurance'
 'other financial services']"
